"vtd.key1","tract.key","county","cntyname","tract","vtdname","pop10","afact","state","NAME","medianage","income","totalpop","poverty","hispanic","white","black","Pres_D_08","Pres_R_08","Shape_area"
"480291036","48029161801","48029","Bexar TX","1618.01","Vtng Dist 1036","4028","0.593 ","48","Census Tract 1618.01, Bexar County, Texas",39.8,48786,3984,13.56,61.42,72.82,8.61,"778","795",3398860.51304
"480291037","48029161501","48029","Bexar TX","1615.01","Vtng Dist 1037","5891","1 ","48","Census Tract 1615.01, Bexar County, Texas",31.9,31127,7482,24.74,77.76,77.11,4.48,"696","412",2143256.53335
"480291041","48029161000","48029","Bexar TX","1610.00","Vtng Dist 1041","2628","0.582 ","48","Census Tract 1610, Bexar County, Texas",25.3,30453,3571,33.04,98.63,67.68,1.32,"752","184",6501479.7938
"480291042","48029161100","48029","Bexar TX","1611.00","Vtng Dist 1042","2393","1 ","48","Census Tract 1611, Bexar County, Texas",32.7,29711,7816,16.16,96.25,75.75,0,"604","172",1660906.45028
"480291043","48029171801","48029","Bexar TX","1718.01","Vtng Dist 1043","1595","0.897 ","48","Census Tract 1718.01, Bexar County, Texas",35,29813,4989,24.62,78.05,79.21,2.51,"283","203",767927.937898
"480291044","48029151200","48029","Bexar TX","1512.00","Vtng Dist 1044","3334","0.996 ","48","Census Tract 1512, Bexar County, Texas",35.4,39953,9868,10.32,93.99,77.05,0.74,"809","228",2800324.20661
"480291045","48029151200","48029","Bexar TX","1512.00","Vtng Dist 1045","6286","1 ","48","Census Tract 1512, Bexar County, Texas",35.4,39953,9868,10.32,93.99,77.05,0.74,"807","256",4466654.89002
"480291046","48029151302","48029","Bexar TX","1513.02","Vtng Dist 1046","2201","0.589 ","48","Census Tract 1513.02, Bexar County, Texas",30.5,42778,3611,22.8,95.76,61.64,0,"649","201",2958214.34186
"480291047","48029151301","48029","Bexar TX","1513.01","Vtng Dist 1047","3374","1 ","48","Census Tract 1513.01, Bexar County, Texas",31.4,27579,5615,30.67,91.24,78.63,0,"613","235",2376677.02068
"480291048","48029151700","48029","Bexar TX","1517.00","Vtng Dist 1048","2735","0.648 ","48","Census Tract 1517, Bexar County, Texas",35.1,43605,6345,11.96,89.44,70.69,0.5,"706","262",4775189.31574
"480291049","48029151400","48029","Bexar TX","1514.00","Vtng Dist 1049","4507","0.889 ","48","Census Tract 1514, Bexar County, Texas",30.7,35424,4380,24.63,86.67,70.82,0,"780","299",2241741.84401
"480291050","48029151500","48029","Bexar TX","1515.00","Vtng Dist 1050","2573","1 ","48","Census Tract 1515, Bexar County, Texas",43.1,32813,2561,20.46,86.41,59.12,0,"474","209",1943683.58281
